ordering,ppmRepPotus,ppmDemPotus,1M-ppmDemPotus,ppmRepOther,ppmDemOther,1M-ppmDemOther,BonusToTrump,BonusToBiden,totalBallots,locality
 453148, 354752, 634538, 365462, 323962, 622489, 377511, 653950, 560245,    747,CityofMilwaukeeWard281
 453395, 153129, 842876, 157124, 131824, 840213, 159787, 606525, 513315,    751,CityofMilwaukeeWard9
 453570, 166177, 822091, 177909, 147605, 822091, 177909, 592860, 500000,   1023,CityofMilwaukeeWard11
 454305, 206266, 780678, 219322, 159268, 751958, 248042, 734990, 643600,    383,CityofMilwaukeeWard215
 454408,  48632, 940729,  59271,  42553, 952887,  47113, 530395, 439210,    658,CityofMilwaukeeWard98
 455090,  49900, 942115,  57885,  23952, 934131,  65869, 629740, 539920,    501,CityofMilwaukeeWard51
 456053, 151453, 828262, 171738, 131845, 826233, 173767, 598040, 510145,   1479,CityofMilwaukeeWard32
 459678,  69124, 919354,  80646,  48387, 914746,  85254, 603685, 523040,    434,CityofMilwaukeeWard172
 460675,  78651, 912359,  87641,  51685, 901123,  98877, 634830, 556180,    445,CityofMilwaukeeWard169
 460938, 244791, 744791, 255209, 197916, 713541, 286459, 734375, 656250,    192,CityofMilwaukeeWard254
 461893, 150914, 839939, 160061, 126524, 830792, 169208, 621950, 545735,    656,CityofMilwaukeeWard19
 461903,  93333, 899047, 100953,  72380, 893333, 106667, 604765, 528570,    525,CityofMilwaukeeWard50
 462685, 116417, 874626, 125374, 107462, 880597, 119403, 544775, 470145,    335,CityofMilwaukeeWard29
 463235,  42483, 941176,  58824,  31045, 944444,  55556, 557190, 483660,    612,CityofMilwaukeeWard108
 463768, 291925, 685300, 314700, 277432, 685300, 314700, 572465, 500000,    483,CityofMilwaukeeWard287
 463930, 103218, 887902, 112098,  87680, 886792, 113208, 577690, 505550,    901,CityofMilwaukeeWard20
 464520, 475982, 508733, 491267, 436681, 483624, 516376, 696505, 625545,    916,CityofMilwaukeeWard315
 464788,  25821, 964788,  35212,  21126, 974178,  25822, 523475, 453050,    426,CityofMilwaukeeWard54
 464860, 110441, 853413, 146587, 100401, 857429, 142571, 550200, 479920,    498,CityofMilwaukeeWard194
 465278,  41666, 952160,  47840,  27777, 952160,  47840, 569445, 500000,    648,CityofMilwaukeeWard56
 465493,  50188, 937264,  62736,  42659, 943538,  56462, 537645, 468630,    797,CityofMilwaukeeWard69
 467950,  37606, 952991,  47009,  27350, 955555,  44445, 551280, 487180,   1170,CityofMilwaukeeWard59
 468963,  75620, 915349,  84651,  60948, 913092,  86908, 573360, 511285,    886,CityofMilwaukeeWard42
 468983, 166253, 827543, 172457, 145161, 818858, 181142, 605460, 543425,    806,CityofMilwaukeeWard12
 469138,  38800, 945326,  54674,  26455, 945326,  54674, 561725, 500000,    567,CityofMilwaukeeWard66
 470853, 177461, 806994, 193006, 152849, 794041, 205959, 623060, 564765,    772,CityofMilwaukeeWard165
 470863,  32634, 958041,  41959,  25641, 962703,  37297, 534965, 476690,    429,CityofMilwaukeeWard105
 471190, 318822, 664532, 335468, 281690, 638924, 361076, 685660, 628040,    781,VWestMilwaukeeWards125
 472648, 236323, 748358, 251642, 216630, 739606, 260394, 598465, 543760,    457,CityofMilwaukeeWard252
 473313, 281138, 708185, 291815, 263345, 701067, 298933, 588965, 535590,    562,CityofMilwaukeeWard7
 473405, 227659, 744680, 255320, 193617, 721276, 278724, 670210, 617020,    470,CityofMilwaukeeWard224
 474005, 168110, 804159, 195841, 143847, 790294, 209706, 621315, 569325,    577,CityofMilwaukeeWard240
 474748, 119769, 873015, 126985, 101010, 864357, 135643, 593795, 543290,    693,CityofMilwaukeeWard25
 475450, 204582, 780687, 219313, 184942, 770867, 229133, 598200, 549100,    611,CityofMilwaukeeWard17
 475845, 423188, 556521, 443479, 412560, 555555, 444445, 553140, 504830,   1035,CityofGreenfieldWard1
 475860, 369098, 608369, 391631, 339055, 587982, 412018, 650215, 601935,    932,CityofMilwaukeeWard305
 477778, 166666, 815555, 184445, 126666, 784444, 215556, 700000, 655555,    450,CityofMilwaukeeWard236
 477878,  50442, 939823,  60177,  43362, 941592,  58408, 535400, 491155,   1130,CityofMilwaukeeWard102
 478448,  71839, 913793,  86207,  54597, 905172,  94828, 586210, 543105,    696,CityofMilwaukeeWard156
 480015,  75139, 916866,  83134,  63948, 913669,  86331, 555955, 515985,   1251,CityofMilwaukeeWard103
 481153,  45226, 949748,  50252,  31825, 943886,  56114, 567005, 529310,   1194,CityofMilwaukeeWard64
 481345, 268656, 721393, 278607, 246268, 706467, 293533, 611940, 574630,    402,CityofMilwaukeeWard260
 481905,  47044, 938480,  61520,  34981, 933655,  66345, 560315, 524125,    829,CityofMilwaukeeWard174
 482300,  69026, 922123,  77877,  54867, 915044,  84956, 570795, 535395,    565,CityofMilwaukeeWard49
 482620,  93858, 893395, 106605,  81112, 887601, 112399, 563730, 528970,    863,CityofMilwaukeeWard45
 482758,  32512, 953694,  46306,  24630, 952709,  47291, 539410, 504925,   1015,CityofMilwaukeeWard104
 484535,  70103, 919587,  80413,  68041, 923711,  76289, 510310, 479380,    485,CityofMilwaukeeWard46
 485505, 173913, 814492, 185508, 142028, 788405, 211595, 659425, 630435,    345,CityofMilwaukeeWard250
